TIMESTAMPms	M32RAWIMU0xacc	M32RAWIMU0yacc	M32RAWIMU0zacc
401	3.978000000000000e+03	1.960000000000000e+02	6.000000000000000e+01
601	3.983000000000000e+03	1.960000000000000e+02	5.800000000000000e+01
801	3.988000000000000e+03	1.970000000000000e+02	7.100000000000000e+01
1002	3.983000000000000e+03	1.910000000000000e+02	5.900000000000000e+01
1201	3.980000000000000e+03	1.950000000000000e+02	7.600000000000000e+01
1401	3.983000000000000e+03	1.930000000000000e+02	7.200000000000000e+01
1601	3.980000000000000e+03	1.910000000000000e+02	8.000000000000000e+01
1801	3.978000000000000e+03	2.000000000000000e+02	8.700000000000000e+01
2001	3.986000000000000e+03	1.950000000000000e+02	8.700000000000000e+01
2201	3.983000000000000e+03	1.950000000000000e+02	7.700000000000000e+01
2403	3.981000000000000e+03	1.960000000000000e+02	9.500000000000000e+01
2601	3.982000000000000e+03	1.920000000000000e+02	8.900000000000000e+01
2801	3.983000000000000e+03	1.940000000000000e+02	9.900000000000000e+01
3001	3.980000000000000e+03	1.990000000000000e+02	1.040000000000000e+02
3201	3.980000000000000e+03	1.920000000000000e+02	9.800000000000000e+01
3401	3.991000000000000e+03	2.010000000000000e+02	9.700000000000000e+01
3601	3.983000000000000e+03	1.970000000000000e+02	1.010000000000000e+02
3801	3.985000000000000e+03	1.920000000000000e+02	1.000000000000000e+02
4001	3.984000000000000e+03	1.950000000000000e+02	9.600000000000000e+01
4201	3.981000000000000e+03	1.950000000000000e+02	9.300000000000000e+01
4401	3.982000000000000e+03	1.990000000000000e+02	8.600000000000000e+01
4600	3.988000000000000e+03	1.970000000000000e+02	9.300000000000000e+01
4821	3.982000000000000e+03	1.970000000000000e+02	1.010000000000000e+02
5001	3.990000000000000e+03	2.020000000000000e+02	9.600000000000000e+01
5200	3.981000000000000e+03	2.010000000000000e+02	9.900000000000000e+01
5400	3.985000000000000e+03	1.940000000000000e+02	1.090000000000000e+02
5600	3.984000000000000e+03	1.960000000000000e+02	1.120000000000000e+02
5836	3.991000000000000e+03	1.880000000000000e+02	1.160000000000000e+02
6000	3.982000000000000e+03	1.930000000000000e+02	1.150000000000000e+02
6200	3.983000000000000e+03	1.950000000000000e+02	1.140000000000000e+02
6400	3.983000000000000e+03	1.990000000000000e+02	1.110000000000000e+02
6600	3.987000000000000e+03	1.930000000000000e+02	1.140000000000000e+02
6823	3.981000000000000e+03	2.020000000000000e+02	1.060000000000000e+02
7000	3.985000000000000e+03	1.990000000000000e+02	1.000000000000000e+02
7200	3.984000000000000e+03	2.030000000000000e+02	7.700000000000000e+01
7400	3.981000000000000e+03	2.080000000000000e+02	8.300000000000000e+01
7600	3.985000000000000e+03	1.940000000000000e+02	1.150000000000000e+02
7836	3.975000000000000e+03	2.010000000000000e+02	1.130000000000000e+02
8000	3.988000000000000e+03	1.980000000000000e+02	9.800000000000000e+01
8200	3.981000000000000e+03	2.010000000000000e+02	9.900000000000000e+01
8400	3.979000000000000e+03	1.930000000000000e+02	1.040000000000000e+02
8600	3.983000000000000e+03	1.730000000000000e+02	1.960000000000000e+02
8800	3.979000000000000e+03	1.770000000000000e+02	1.850000000000000e+02
9000	3.989000000000000e+03	1.830000000000000e+02	1.870000000000000e+02
9200	3.983000000000000e+03	1.840000000000000e+02	1.660000000000000e+02
9400	3.987000000000000e+03	1.890000000000000e+02	1.650000000000000e+02
9600	3.983000000000000e+03	1.860000000000000e+02	1.670000000000000e+02
9800	3.983000000000000e+03	1.880000000000000e+02	1.590000000000000e+02
10000	3.987000000000000e+03	1.900000000000000e+02	1.450000000000000e+02
10202	3.982000000000000e+03	1.960000000000000e+02	1.050000000000000e+02
10401	3.983000000000000e+03	1.970000000000000e+02	1.160000000000000e+02
10601	3.985000000000000e+03	1.930000000000000e+02	1.160000000000000e+02
10802	3.981000000000000e+03	1.900000000000000e+02	1.160000000000000e+02
11001	3.981000000000000e+03	1.920000000000000e+02	1.220000000000000e+02
11201	3.987000000000000e+03	1.930000000000000e+02	1.190000000000000e+02
11400	3.983000000000000e+03	1.930000000000000e+02	1.240000000000000e+02
11600	3.983000000000000e+03	1.900000000000000e+02	1.300000000000000e+02
11800	3.984000000000000e+03	1.850000000000000e+02	1.310000000000000e+02
12007	3.987000000000000e+03	1.880000000000000e+02	1.350000000000000e+02
12200	3.981000000000000e+03	1.860000000000000e+02	1.310000000000000e+02
12401	3.980000000000000e+03	1.930000000000000e+02	1.220000000000000e+02
12600	3.988000000000000e+03	1.890000000000000e+02	1.190000000000000e+02
12800	3.989000000000000e+03	1.900000000000000e+02	1.280000000000000e+02
13001	3.983000000000000e+03	1.880000000000000e+02	1.330000000000000e+02
13207	3.984000000000000e+03	1.900000000000000e+02	1.290000000000000e+02
13400	3.981000000000000e+03	1.880000000000000e+02	1.290000000000000e+02
13600	3.985000000000000e+03	1.860000000000000e+02	1.400000000000000e+02
13801	3.980000000000000e+03	1.920000000000000e+02	1.360000000000000e+02
14000	3.979000000000000e+03	1.950000000000000e+02	1.410000000000000e+02
14200	3.977000000000000e+03	1.900000000000000e+02	1.380000000000000e+02
14400	3.984000000000000e+03	1.880000000000000e+02	1.400000000000000e+02
14601	3.979000000000000e+03	1.930000000000000e+02	1.380000000000000e+02
14800	3.983000000000000e+03	1.880000000000000e+02	1.400000000000000e+02
15000	3.983000000000000e+03	1.910000000000000e+02	1.260000000000000e+02
15200	3.987000000000000e+03	1.910000000000000e+02	1.230000000000000e+02
15400	3.983000000000000e+03	1.950000000000000e+02	1.300000000000000e+02
15602	3.979000000000000e+03	1.850000000000000e+02	1.340000000000000e+02
15800	3.985000000000000e+03	1.900000000000000e+02	1.400000000000000e+02
16000	3.982000000000000e+03	1.920000000000000e+02	9.200000000000000e+01
16200	3.984000000000000e+03	1.860000000000000e+02	1.410000000000000e+02
16400	3.977000000000000e+03	1.820000000000000e+02	1.440000000000000e+02
16600	3.982000000000000e+03	1.860000000000000e+02	1.460000000000000e+02
16808	3.980000000000000e+03	1.860000000000000e+02	1.440000000000000e+02
17000	3.983000000000000e+03	1.840000000000000e+02	1.500000000000000e+02
17200	3.983000000000000e+03	1.790000000000000e+02	1.600000000000000e+02
17400	3.983000000000000e+03	1.810000000000000e+02	1.570000000000000e+02
17600	3.983000000000000e+03	1.760000000000000e+02	1.650000000000000e+02
17800	3.989000000000000e+03	1.690000000000000e+02	1.630000000000000e+02
18003	3.981000000000000e+03	1.820000000000000e+02	1.690000000000000e+02
18200	3.983000000000000e+03	1.780000000000000e+02	1.760000000000000e+02
18399	3.979000000000000e+03	1.790000000000000e+02	1.610000000000000e+02
18599	3.978000000000000e+03	1.830000000000000e+02	1.600000000000000e+02
18800	3.984000000000000e+03	1.890000000000000e+02	1.490000000000000e+02
19011	3.977000000000000e+03	1.890000000000000e+02	1.650000000000000e+02
19222	3.986000000000000e+03	1.870000000000000e+02	1.500000000000000e+02
19399	3.981000000000000e+03	1.840000000000000e+02	1.480000000000000e+02
19599	3.981000000000000e+03	1.860000000000000e+02	1.630000000000000e+02
19799	3.980000000000000e+03	1.840000000000000e+02	1.640000000000000e+02
20012	3.981000000000000e+03	1.840000000000000e+02	1.650000000000000e+02
20200	3.981000000000000e+03	1.800000000000000e+02	1.660000000000000e+02
20400	3.978000000000000e+03	1.850000000000000e+02	1.640000000000000e+02
20600	3.983000000000000e+03	1.810000000000000e+02	1.670000000000000e+02
20800	3.979000000000000e+03	1.870000000000000e+02	1.710000000000000e+02
21020	3.981000000000000e+03	1.830000000000000e+02	1.640000000000000e+02
21200	3.983000000000000e+03	1.840000000000000e+02	1.620000000000000e+02
21400	3.978000000000000e+03	1.870000000000000e+02	1.650000000000000e+02
21600	3.984000000000000e+03	1.740000000000000e+02	1.760000000000000e+02
21800	3.981000000000000e+03	1.880000000000000e+02	1.640000000000000e+02
22032	3.980000000000000e+03	1.840000000000000e+02	1.650000000000000e+02
22200	3.981000000000000e+03	1.820000000000000e+02	1.680000000000000e+02
22400	3.978000000000000e+03	1.840000000000000e+02	1.660000000000000e+02
22600	3.975000000000000e+03	1.870000000000000e+02	1.610000000000000e+02
